,contexte_gauche,mention,contexte_droit,procédé_de_nommage,cible_mention,polarité_mention,positionnement_mention,cible_contexte,temporalité,polarité_contexte,positionnement_contexte,
1610,"                ENPNewswire-June 12, 2020--Groupama launches construction with VINCI of Total's new head office, The Link, in partnership with ",Paris La Defense,                 (C)2020 ENPublishing,référence géographique,localisation,neutre,pris en charge,urbanisme,présent,neutre,pris en charge,
1611,"coveringthe construction of The Link, Total's new head office in",Paris La Defense,.		,référence géographique,localisation,neutre,pris en charge,urbanisme,présent,neutre,pris en charge,
1616,"the current unprecedented times is a strong indication of our confidence in the future,' said Thierry Martel, Chief Executive Officer of Groupama.                  'With The Link, we will bring together our teams, currently spread across ",Paris La Defense,", in a modern working environment that is both bright",référence géographique,localisation,neutre,pris en charge,urbanisme,présent,positif,cité,
1618,The Link demonstrates VINCI Construction France's capacity for combining property development skills and technical expertise in complex projects.It is one of a series of high-rise buildings erected in,the Paris La Defense district,",' said Hugues Fourmentraux, Chairman of VINCI Construction France.                  ",référence géographique/type lieu,localisation,neutre ,pris en charge,urbanisme,présent,positif,cité,
1620,"La Defense district,' said Hugues Fourmentraux, Chairman of VINCI Construction France.                  'Against the backdrop of the current public health crisis, the launch of The Link confirms the attractiveness of ",our business district,.,type lieu ,économie ,neutre,cité,urbanisme,présent,positif,cité ,
1623,                  The Link                  Located in the Michelet district of ,Paris La Defense,", The Link comprises two towers connected over 30 storeys by green walkways.",référence géographique,localisation,neutre,pris en charge,urbanisme,présent,neutre ,pris en charge,
1628,and for society at large.                  About ,Paris La Defense,: Strengthen the links between the business district and the centre of Puteaux                  Paris,référence géographique,localisation,neutre,pris en charge,urbanisme,présent,neutre,pris en charge,
1629,About ParisLa Defense: Strengthen the links between the business district and the centre of Puteaux                  ,Paris La Defense,", a public entity in charge of development, coordination and management, has major ambitions for the Michelet district, which is currently difficult to access.",référence géographique,localisation,neutre,pris en charge,urbanisme,présent,neutre,pris en charge,
1630,the creation of urbanconnections to link the,Paris La Defense,pedestrian area with the city of Puteaux and upgrade the circular boulevard.,référence géographique ,localisation,neutre ,pris en charge,urbanisme,présent ,neutre,pris en charge,
1633,Currently forming a border between,the business district,and the centre of Puteaux,type lieu ,économie ,neutre,pris en charge,urbanisme ,présent ,neutre ,pris en charge,
1634,Puteaux city centre and the,La Defense, esplanade                  ,norme,NA,NA,NA,NA,NA,NA,NA,
1636,analysis focuses on revenue and forecast by Type and by Application in terms of revenue and forecast for the period 2015-2026.                  The key players covered in this study                  Thales e-Security (,La Defense,", France)                  Gemalto N.V. (Amsterdam, Netherlands)                  Sophos",norme,NA,NA,NA,économie,présent,neutre,pris en charge,
1637,Players Profiles                  13.1 Thales e-Security (,La Defense,", France)                  13.1.1",norme,NA,NA,NA,économie,présent,neutre,pris en charge,
