,contexte_gauche,mention,contexte_droit,procédé_de_nommage,cible_mention,polarité_mention,positionnement_mention,cible_contexte,polarité_contexte,temporalité,positionnement_contexte,,FALSE
1,,Premier quartier d'affaires européen,", la Défense, avec ses 115 milliards d'euros de PIB annuel, représente un peu moins de 20 % de toute la valeur créée en Ile-de-France.",type lieu/référence géographique,économie/localisation,positif,pris en charge,économie,positif,présent,pris en charge,,
2,"Premier quartier d'affaires européen,",la Défense,", avec ses 115 milliards d'euros de PIB annuel, représente un peu moins de 20 % de toute la valeur créée en Ile-de-France.",norme,NA,NA,NA,économie,positif,présent,pris en charge,,
3,"Quelque 160.000 salariés, dont 57,6 % de cadres, employés par 2.500 entreprises parmi lesquelles 70 % de sièges sociaux...",La Défense,"cumule les superlatifs et les usages puisque ses 3,4 millions de mètres carrés de bureaux s'accompagnent de 245.000 mètres carrés de commerces et de 19.000 logements.",norme,NA,NA,NA,quotidien,positif,présent,pris en charge,,
4,"Quelque 160.000 salariés, dont 57,6 % de cadres, employés par 2.500 entreprises parmi lesquelles 70 % de sièges sociaux...La Défense cumule les superlatifs et les usages puisque ses 3,4 millions de mètres carrés de bureaux s'accompagnent de 245.000 mètres carrés de commerces et de 19.000 logements.",Cette pépite de la région parisienne,"a encore attiré 1,8 milliard d'euros d'investissements privés",métaphore/référence géographique,économie/localisation,positif,pris en charge,économie,positif,présent,pris en charge,,
5,"L'Epadesa évalue les travaux à 351 millions d'euros sur la période 2012-2020 selon le rapport de la Cour des comptes de février dernier.		Mais, au-delà de ces travaux et devant l'enjeu économique que représente ",la Défense," pour le développement de l'Ile-de-France, le gouvernement a demandé à l'Epadesa de se doter d'un plan stratégique et opérationnel (PSO) décennal.		",norme,NA,NA,NA,économie,neutre,présent,cité,,
6,"Le premier de ses quatre axes réaffirme le principe de la rénovation permanente du quartier indispensable au maintien de son attractivité pour les grandes entreprises.Dans ce cadre,",le quartier,"doit aussi s'ouvrir, davantage que ces dernières années, sur son environnement immédiat.",type lieu,urbanisme,neutre,pris en charge,urbanisme,négatif,passé,pris en charge,,
9,"Parallèlement, et c'est le troisième axe du PSO, l'Epadesa va plancher sur la diversification de l'offre de bureaux afin de tenir compte de l'évolution des besoins des entreprises et de susciter l'implantation de davantage de PME qu'actuellement.Cela doit s'accompagner d'une évolution des modes de transports pour mieux intégrer",la Défense, dans les politiques de déplacement de ses voisins.		,norme,NA,NA,NA,quotidien,négatif,présent,pris en charge,,
10,"Cela doit s'accompagner d'une évolution des modes de transports pour mieux intégrer la Défense dans les politiques de déplacement de ses voisins.		Quatrième axe, ",la Défense,"doit servir de catalyseur de l'attractivité et du développement des principaux pôles de la future métropole du Grand Paris, notamment à l'étranger.",norme,NA,NA,NA,économie,positif,futur,pris en charge,,
11,"On m'a demandé de rendre service, j'ai rendu service, je n'étais pas au courant que c'était des terroristes.»		 Un attentat contre ",le quartier d'affaires de la Défense,,type lieu,économie,neutre,pris en charge,événement,négatif,présent,pris en charge,,
12,"Mais voilà.Hier, en fin d'après-midi, plusieurs sources citées par l'agence Reuters, indiquaient que les enquêteurs auraient, en fait, découvert une nouvelle équipe de djihadistes qui projetait un attentat contre",le quartier d'affaires de la Défense,(Hauts-de-Seine).,type lieu,économie,neutre,pris en charge,événement,négatif,présent,pris en charge,,
14,Un nouveau patron pour,le  quartier d'affaires de  la Défense,,type lieu,économie,neutre,pris en charge,administration,neutre,présent,pris en charge,,
15,		Changement de direction à la tête du ,quartier d'affaires de la Défense,.,type lieu,économie,neutre,pris en charge,administration,neutre,présent,pris en charge,,
16,"                Changement de direction à la tête du quartier d'affaires de la Défense.Hugues Parant, qui occupait depuis 2013 la fonction de directeur général de l'Epadesa (ex-Epad), l'établissement public chargé de la gestion du ",quartier d'affaires,", cesse ses fonctions aujourd'hui.",type lieu,économie,neutre,pris en charge,administration,neutre,présent,pris en charge,,
17,"Il s'agit de Jean-Claude Gaillot, actuellement inspecteur général au Conseil général de l'environnement et du développement durable (CGEDD).                Ce changement de cap intervient au moment, délicat, où la gestion du ",quartier d'affaires,sera complètement remise à plat.,type lieu,économie,neutre,pris en charge,administration,neutre,futur,pris en charge,,
18,"Ce changement de cap intervient au moment, délicat, où la gestion du quartier d'affaires sera complètement remise à plat.La future loi sur le statut de Paris et l'aménagement métropolitain, débattue au Sénat à partir de novembre, prévoit en effet le transfert des compétences exercées par l'Epadesa (l'aménagement de la",Défense,) aux collectivités locales.,norme,NA,NA,NA,administration,neutre,futur,pris en charge,,
19,"Sans compter que les deux établissements, l'un chargé de la gestion, l'autre de l'aménagement, se renvoyaient la balle s'agissant du règlement de certaines factures et travaux urgents, évalués à 400 millions d'euros.                Une phase préparatoire Matignon a donc tranché cet été en décidant de confier les rênes du ",quartier d'affaires,"aux élus locaux, qui pourraient élire à sa tête Patrick Devedjian, l'actuel président du Conseil départemental des Hauts-de-Seine.",type lieu,économie,neutre,pris en charge,administration,neutre,futur,pris en charge,,
20,« H ugues Parant a été un très bon directeur général.Nous préparons une nouvelle étape dans l'évolution de,La Défense,", une phase préparatoire qui va durer six à huit mois.",norme,NA,NA,NA,administration,positif,futur,cité,,
21,"		ÎLE-DE-FRANCE :  Le département des Hauts-de-Seine et Defacto, établissement qui cogère ",le quartier d'affaires de la Défense,", lancent une campagne de communication pour attirer les sociétés tentées de quitter Londres pour cause de Brexit.",type lieu,économie,neutre,pris en charge,tourisme,neutre,futur,pris en charge,,
22,Try the frogs !Choose,Paris-La Défense,"» proclame son slogan, que l'on peut traduire par « Marre du brouillard ?",référence géographique,localisation,neutre,cité,tourisme,neutre,présent,cité,,
23,Essayez les grenouilles.Choisissez,Paris-La Défense,"», assorti d'un batracien aux yeux globuleux portant cravate.",référence géographique,localisation,neutre,cité,tourisme,neutre,présent,cité,,
24,"Cette campagne diffusée en France et au Royaume-Unientend convaincre de l'attractivité économique des Hauts-de-Seine, un des départements les plus riches de France, et du",quartier d'affaires de la Défense,", limitrophe de la capitale française.",type lieu,économie,neutre,pris en charge,économie,neutre,présent,pris en charge,,
25,,La Défense,fait de son esplanade un jardin,norme,NA,NA,NA,urbanisme,neutre,présent,pris en charge,,
27,"		Un jardin fleuri de bosquets, d'abris et de pelouses... à la place du bitume.Voilà l'ambition du ",quartier d'affaires de la Défense,", qui planche sur la création d'un parc de 7 hectares sur l'esplanade, au pied des tours.",type lieu,économie,neutre,pris en charge,urbanisme,positif,futur,pris en charge,,
29,"                Un jardin fleuri de bosquets, d'abris et de pelouses... à la place du bitume.Voilà l'ambition du quartier d'affaires de la Défense, qui planche sur la création d'un parc de 7 hectares sur l'esplanade, au pied ",des tours,.,type lieu,architecture,neutre,pris en charge,urbanisme,positif,futur,pris en charge,,
